1 2 3 4 5 6 7 8 9 A B C D E F G
5 6 7 8 9 A B C D E F G 1 2 3 4
9 A B C D E F G 1 2 3 4 5 6 7 8
D E F G 1 2 3 4 5 6 7 8 9 A B C
2 1 4 3 6 5 8 7 A 9 C B E D G F
6 5 8 7 A 9 C B E D G F 2 1 4 3
A 9 C B E D G F 2 1 4 3 6 5 8 7
E D G F 2 1 4 3 6 5 8 7 A 9 C B
4 3 2 1 8 7 6 5 C B A 9 G F E D
8 7 6 5 C B A 9 G F E D 4 3 2 1
C B A 9 G F E D 4 3 2 1 8 7 6 5
G F E D 4 3 2 1 8 7 6 5 C B A 9
3 4 1 2 7 8 5 6 B C 9 A F G D E
7 8 5 6 B C 9 A F G D E 3 4 1 2
B C 9 A F G D E 3 4 1 2 7 8 5 6
F G D E 3 4 1 2 7 8 5 6 B C 9 A
